Key,English,Finnish
PROPTROUPESKILL_TXT_000000,Call,Ilmoitus
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Ilmoittaa ryhmän johtajalle ryhmän jäsenien sijainnit.
PROPTROUPESKILL_TXT_000002,Blitz,Blitz
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Ryhmän johtaja määrää ryhmän jäsenet hyökkäämään kohdetta vastaan.
PROPTROUPESKILL_TXT_000004,Retreat,Peräänny
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Ryhmän johtaja määrää ryhmän jäsenet perääntymään.
PROPTROUPESKILL_TXT_000008,Precision,Precision
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.
PROPTROUPESKILL_TXT_000010,Linked Attack,Linkitetty Hyökkäys
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Each party member around the leader increases the party leader's damage by 5%.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Onnekas Droppi
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Kasvattaa mahdollsuuksia uniikkien esineiden putoamiselle Masquerpetseiltä.
PROPTROUPESKILL_TXT_000014,Resting,Lepo
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster."
PROPTROUPESKILL_TXT_000016,Gift Box,Lahjalaatikko
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Kasvattaa mahdollisuuksia useamman esineen putoamiseen Masquerpetseiltä.
PROPTROUPESKILL_TXT_000018,Global Attack,Globaali Hyökkäys
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.
